ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
11352,3243003,Active,301223,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Bergen Street,St. Marks Place,40.67929002,-73.96838036,993020.2439,186761.6695,POINT (-73.968380357896 40.679290018452)
5854,3249866,Active,330703,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Prospect Place,Park Place,40.67741065,-73.96906031,992831.8896,186076.8936,POINT (-73.969060309586 40.677410648369)
15406,2033038,Active,220848,,,,Bronx,,,,,40.82683072,-73.8874825,1015389.581,240533.9537,POINT (-73.887482504384 40.826830716813)
5855,3249865,Active,312175,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,St. Mark's Avenue,Prospect Place,40.67808795,-73.96881442,992900.0066,186323.6792,POINT (-73.968814415408 40.678087952702)
15405,2083111,Active,213858,,,,Bronx,,,,,40.89263042,-73.85747534,1023655.148,264519.387,POINT (-73.85747534423 40.892630423602)
11354,3243005,Active,300943,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Dean Street,Bergen Street,40.67973541,-73.96821926,993064.8675,186923.9536,POINT (-73.968219262744 40.67973540724)
15404,2083110,Active,214290,,,,Bronx,,,,,40.894046,-73.85713952,1023747.155,265035.2902,POINT (-73.857139519808 40.894046000836)
3869,4353001,Retired,412603,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Flushing Avenue,S,61 Street,Fresh Pond Road,40.72114482,-73.90378037,1010921.391,202023.6846,POINT (-73.903780372768 40.721144819738)
2866,4233035,Active,418209,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,23 Street,W,33 Avenue,Broadway,40.76431814,-73.93056932,1003483.22,217746.0728,POINT (-73.930569324729 40.76431813674)
8055,4072180,Active,415485,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,34 Avenue,S,Steinway Street,41 Street,40.75645194,-73.92051225,1006271.763,214882.5276,POINT (-73.92051224972 40.75645193668)
5429,3193007,Active,311003,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Graham Avenue,W,Varet Street,Cook Street,40.7026749,-73.94250796,1000190.799,195285.1147,POINT (-73.942507960778 40.702674896836)
15388,4233182,Active,422809,,,,Queens,Astoria Blvd,,,,40.77194275,-73.92481722,1005074.244,220525.288,POINT (-73.92481722057 40.771942753819)
